Id,Solo_danos,Herido,Muerto,Direccion,Latitud,Longitud,Dia,Mes,A_o,Choque,Atropello,Volcamiento,caida de ocupante,Otro,Rural,Urbana,Masculino,Femenino,<18,18-30,31-60,>60,Tipo_vehiculo,Publico,Particular,Oficial,Diplomatico
667,,1,,"CALLE 19 CARRERA 11 BARCELONA,Calarcá,Quindio",4.4285796,-75.7180082,22,04,2024,1,,,,,,1,2,,,2,,,MOTOCICLETA-CAMIONETA,,2,,
668,,1,,"BARRIO VERACRUZ MZ 32 C 17,Calarcá,Quindio",4.5198225,-75.6529549,23,04,2024,,1,,,,,1,,2,,2,,,MOTOCICLETA ,,1,,
669,,1,,"CRA 24 FRENTE 29A 26,Calarcá,Quindio",4.5285541,-75.6409661,26,04,2024,1,,,,,,1,1,,,1,,,MOTOCICLETA ,,1,,
670,,1,,"CARRERA 27 FRENTE 35+12,Calarcá,Quindio",4.5315246,-75.6420647,27,04,2024,,1,,,,,1,2,,,,1,1,MOTOCICLETA,,1,,
671,,1,,"VIA LA URIBE–CALARCA KM 79+450,Calarcá,Quindio",4.520483,-75.644061,28,04,2024,1,,,,,1,,2,,,1,1,,TRACTOCAMION,1,,,
672,,,1,"VIA LA URIBE–CALARCA KM 85+770,Calarcá,Quindio",4.525125,-75.637144,01,06,2024,1,,,,,,1,2,,,1,,,TRACTOCAMION-CAMIONETA,1,1,,
673,,1,,"CALLE 39 FRENTE 19+53 CALARCA QUINDIO,Calarcá,Quindio",4.5301984,-75.6403968,01,06,2024,,1,,,,,1,2,,,,2,,MOTOCICLETA ,,1,,
674,,1,,"CRA 25 FRENTE 36+58,Calarcá,Quindio",4.5288108,-75.6416001,03,06,2024,1,,,,,,1,2,,1,,1,,CAMPERO-PATINETA,,2,,
675,,1,,"AVENIDA COLON CALLE 20 FRENTE 19+67,Calarcá,Quindio",4.5216398,-75.6485144,03,06,2024,1,,,,,,1,2,,,1,,,MOTOCICLETA-MOTOCICLETA,,2,,
676,,1,,"AVENIDA COLON MZ 21+113,Calarcá,Quindio",4.5177686,-75.6534961,05,06,2024,1,,,,,,1,2,,,,2,,MOTOCICLETA-AUTOMOVIL,,2,,
677,,1,,"VIA CALARCA -LA VIRGINIA FRENTE AL LEON DE GREIF,Calarcá,Quindio",4.5006909,-75.6463363,09,06,2024,,1,,,,,1,1,1,,1,,1,MOTOCICLETA,,1,,
678,,1,,"BARRIO GUADUALES ETP 2 FRENTE A LAS MZ 6 Y F,Calarcá,Quindio",4.518741,-75.641849,10,06,2024,,1,,,,,1,1,1,,,1,1,MOTOCARRO ,,1,,
679,,1,,"CARRERA 12 CALLE 12 BARCELONA,Calarcá,Quindio",4.4293236,-75.718392,14,06,2024,1,,,,,,1,1,1,,1,1,,MOTOCICLETA -AUTOMOVIL,,2,,
680,,1,,"AVENIDA COLON FRENTE # 19+27,Calarcá,Quindio",4.5222917,-75.6478148,15,06,2024,,1,,,,,1,1,1,,1,,1,MOTOCICLETA,,1,,
681,,1,,"ESPANOLA - CALARCA KM 81+400,Calarcá,Quindio",4.521415,-75.643622,22,06,2024,1,,,,,1,,1,,,1,,,MOTOCICLETA ,,1,,
682,,1,,"BARRIO VILLA ASTRID FRENTE A LA MZ A CASA 9,Calarcá,Quindio",4.516042,-75.6445307,24,06,2024,1,,,,,,1,1,,,,,1,,,,,
683,,1,,"VIA LA URIBE–CALARCA KM 83+800,Calarcá,Quindio",4.523485,-75.641811,26,06,2024,1,,,,,1,,2,,1,,1,,MOTOCICLETA-BICICLETA,,2,,
684,,1,,"VIA CALARCA–CIRCASIA KILOMETRO 0+120,Calarcá,Quindio",4.5076838,-75.5812264,30,06,2024,1,,,,,,1,2,,,,1,1,MOTOCICLETA-AUTOMOVIL,,2,,
685,,1,,"CARRERA 27 CALLE 35,Calarcá,Quindio",4.5286804,-75.643631,01,07,2024,1,,,,,,1,2,,1,1,,,MOTOCICLETA-BICICLETA,,2,,1
686,,1,,"KM 6+860 CALARCA-IBAGUE,Calarcá,Quindio",4.5266936,-75.6409574,15,07,2024,,1,,,,1,,2,,,,1,1,MOTOCICLETA,,1,,
687,,1,,"CARRERA 25 CALLE 27 ESQUINA,Calarcá,Quindio",4.5226966,-75.6438881,15,07,2024,1,,,,,,1,2,,,1,1,,MOTOCICLETA-AUTOMOVIL,,2,,
